minecraft_117_world_seed,nftworlds2021_id
-2147344197,5504
-2147314087,4621
-2145871094,8745
-2145440038,8258
-2144539684,3776
-2144229642,32
-2143579060,6829
-2143256519,8332
-2142793963,8822
-2142602798,6454
-2142458721,4791
-2141547545,869
-2141177583,386
-2141024628,3060
-2140796247,1608
-2140347432,2044
-2139594024,7129
-2139175082,7404
-2138634778,5530
-2137944280,8950
-2137200223,5298
-2136525095,6959
-2136391644,2469
-2136330328,1650
-2135811721,8048
-2135709238,5437
-2135571748,3305
-2135543172,8763
-2134783168,7928
-2134119783,9343
-2133181350,7324
-2132902033,896
-2132170597,4776
-2131841082,3739
-2131768920,8184
-2131703062,7287
-2131161745,279
-2130773925,6988
-2130365774,575
-2129895431,2943
-2129630405,6632
-2129473848,3508
-2129342949,6187
-2128853111,6641
-2128273799,4864
-2127321806,9824
-2127138126,1757
-2126981553,1416
-2126653932,6687
-2125576862,760
-2125322520,462
-2124321436,4439
-2124117075,1571
-2123971898,1974
-2123727588,3979
-2123573517,5029
-2122216956,4411
-2121774932,6599
-2121057586,1790
-2121011885,5110
-2120910494,1399
-2120487291,4095
-2120252428,3592
-2120194680,4294
-2120189567,9212
-2120111338,6907
-2119554417,1703
-2118314130,7095
-2118102974,8960
-2118037599,8696
-2117452772,1834
-2116610598,3251
-2116524264,198
-2116375679,5900
-2116237163,433
-2115904836,2745
-2115862611,2495
-2115663586,1008
-2114681837,5267
-2114588328,8619
-2114399002,5719
-2113972589,4579
-2113875024,1522
-2113456429,3906
-2113250120,2451
-2112651090,7004
-2112083827,2000
-2111766151,5309
-2110023982,252
-2109910394,9161
-2109434925,7519
-2105906124,7873
-2105871864,8421
-2105498263,4702
-2104645939,7597
-2103715317,9149
-2103421727,7001
-2103142984,6973
-2102935797,2738
-2102559349,1539
-2102423860,9948
-2101919146,3816
-2101123856,1521
-2100892032,4282
-2100569315,9928
-2100345498,2258
-2099976121,6992
-2099575305,3390
-2099341928,4371
-2098982397,3321
-2098374604,8592
-2098019897,6426
-2097186768,5599
-2096881985,8060
-2096835886,6716
-2096269163,355
-2095662730,1353
-2094870287,9133
-2094467527,2210
-2094303837,9868
-2093233101,2243
-2093158077,6916
-2092811493,3570
-2092010927,2395
-2091482059,1524
-2091047584,2427
-2090699369,6430
-2090568920,1395
-2090180889,3518
-2089791764,2651
-2089557485,6034
-2088914872,7901
-2088871908,867
-2088813724,9123
-2087933201,9589
-2087272716,3701
-2087141187,2106
-2086447681,7313
-2086361114,9904
-2085562063,1387
-2085259476,5809
-2084776069,1564
-2084454019,2152
-2084286816,7436
-2083977411,1652
-2083459238,1378
-2083127959,6230
-2082936583,9250
-2082739847,9327
-2082719658,924
-2082676783,8638
-2082640796,2972
-2082450042,7655
-2082415751,2316
-2082361684,543
-2082291436,6475
-2081820988,4598
-2081417687,4291
-2081018530,4292
-2080883070,1386
-2080849123,8559
-2079702186,6014
-2079515326,311
-2079143678,1560
-2078248091,3371
-2077582753,2874
-2077255529,2389
-2076633858,2326
-2076569904,6550
-2076439508,9719
-2076355644,8401
-2075818996,5795
-2075775911,1223
-2075253738,3624
-2075098235,494
-2074916327,9967
-2074767633,2356
-2074387090,1993
-2074005968,1264
-2073873766,4574
-2073806731,1863
-2073705232,1467
-2073591538,65
-2073559804,5751
-2073539735,7615
-2073438172,8703
-2073317327,7497
-2072572087,1159
